# Submodule versions (tag if exact, otherwise closest tag) — generated 2026-02-11T13:51:51-05:00

module                                       tag                              commit
------------------------------------------------------------------------------------------------
areaDetector/ADCore                          R3-12-1-8-g3328bc3e              3328bc3ee2ef
areaDetector/ADSimDetector                   R2-10-22-g4b236f4                4b236f4fa08a
areaDetector/ADURL                           R2-3                             485eff9ae576
areaDetector/pvaDriver                       R1-5-7-ge3e33d0                  e3e33d0e6dfa
asyn                                         R4-45                            d55786e0508b
autosave                                     R6-0                             03b94f803be4
busy                                         R1-7-4                           569a6b6fb128
ca-cagateway                                 R2-1-3-0                         5340256ffc57
calc                                         R5-4-2                           d0e9254909cb
caputlog                                     R4.1                             bfbea4ac6f35
epics-base                                   R7.0.10                          bf11a0c31c91
modules/normativeTypes                       6.0.2                            e67486c3195a
modules/pvAccess                             7.1.8                            b14e327ac8e0
modules/pvData                               8.0.7                            e069c699e965
modules/pvDatabase                           4.7.2                            8cf550ff57ab
modules/pva2pva                              1.4.1                            3a08da445b46
modules/pvaClient                            4.8.1                            65d2cce75303
etherip                                      ether_ip-3-8                     da519d0636af
iocstats                                     4.0.0                            c7ae61196612
modbus                                       R3-4                             4a1276b0efa6
motor                                        R7-3-1                           88c627ae02a2
modules/motorAMCI                            R1-0-2                           89405a90f9f7
modules/motorAcs                             R1-1-1                           324ff14fdfa2
modules/motorAcsMotion                       R2-2                             ee68ab79daf0
modules/motorAcsTech80                       R1-0-2                           e1882d791743
modules/motorAerotech                        R1-1-1                           8d1bc26a8f64
modules/motorAttocube                        R1-0-2                           82f70fd32af2
modules/motorDeltaTau                        R1-0-2                           43ab394320ac
modules/motorFaulhaber                       R1-0-2                           20634dc0da37
modules/motorHytec                           R1-0-3                           256547357fb2
modules/motorIms                             R1-0-2                           50ccd0be61dd
modules/motorKohzu                           R1-0-2                           17cfb357bcdd
modules/motorMXmotor                         R1-0-2                           c7439e9ebf49
modules/motorMclennan                        R1-1-1                           dab26dc0d0bf
modules/motorMicos                           R2-1                             c46578b0e8a9
modules/motorMicroMo                         R1-0-2                           82d81d7cbbca
modules/motorMicronix                        R1-1                             e163dd64d242
modules/motorMotorSim                        R1-2                             cdea87404306
modules/motorNPoint                          R1-1                             700855b5f6de
modules/motorNewFocus                        R1-2-1                           e146427ec9d5
modules/motorNewport                         R1-2-1                           d84cfe2bf524
modules/motorOms                             R1-2                             dca9b664904d
modules/motorOmsAsyn                         R1-0-3                           fa94d1dfb505
modules/motorOriel                           R1-0-2                           a6887696dda3
modules/motorPI                              R1-1-1                           15658711e9e4
modules/motorPIGCS2                          R1-2                             0a452b905d27
modules/motorParker                          R1-1-1                           018dfe994cb9
modules/motorPhytron                         R1-2                             02d5ce00c37e
modules/motorPiJena                          R1-0-2                           09fc0f60bb0a
modules/motorScriptMotor                     R1-2                             0c63c3f24e1f
modules/motorSmarAct                         R2-0                             902faf40699a
modules/motorSmartMotor                      R1-0-2                           fe263b77c1d1
modules/motorThorLabs                        R1-0-1-12-g0ffb08a               0ffb08ab41e8
p4p                                          4.2.2                            79413633b622
pcas                                         v4.13.3                          6ba32b5c3b39
procserv                                     v2.8.0-rc2                       2dce8b1d4ce6
pscdrv-dev                                   a9912f2                          a9912f2dca4b
pvxs                                         1.5.1                            d0ee5b2ab61d
bundle/libevent                              release-2.1.8-stable-957-g1fe626c4 1fe626c4da14
recsync                                      1.8                              4ce38ae81d38
seq                                          R2-2-9                           e5e361509df1
sscan                                        R2-11-6                          f03da19eb11a
stream                                       stream_2_7_14                    d5dc15e321fe
